plot_group,split,feature_1,feature_2,n,spearman_rho,p_value
HE,test,Avg jerk,Std jerk,266,0.9855496277263012,1.3221823669615833e-205
HE,test,Avg angular acceleration,Std angular acceleration,266,0.9796933503995309,2.875720162926855e-186
HE,test,Max jerk,Std jerk,266,0.9026640164116034,1.1553668534085073e-98
HE,test,Avg angular acceleration,Std angular velocity,266,0.8572075726734687,4.652813743052612e-78
HE,test,Mean acceleration,Std acceleration,266,0.85218654012602,3.134787200829561e-76
HE,test,Avg jerk,Max jerk,266,0.8390572573048054,9.406956571544598e-72
HE,test,Std angular acceleration,Std angular velocity,266,0.8256334072408071,1.4220843483219376e-67
HE,test,Avg jerk,Avg angular acceleration,266,0.7047212051753297,3.09009795957668e-41
HE,test,Std jerk,Avg angular acceleration,266,0.6924979397826769,2.5716364454224497e-39
HE,test,Mean angular velocity,Std angular velocity,266,0.690591541393233,5.024445633840241e-39
HE,test,Avg jerk,Std angular acceleration,266,0.6818552635563894,1.0133022838223446e-37
HE,test,Std jerk,Std angular acceleration,266,0.6716576261514503,2.966318477793949e-36
HE,test,Avg jerk,Std acceleration,266,0.6454124499291476,9.781431024294582e-33
HE,test,Std jerk,Std angular velocity,266,0.6277205628019593,1.491898408763198e-30
HE,test,Avg jerk,Std angular velocity,266,0.623233194285268,5.0747024609946496e-30
HE,test,Avg angular acceleration,Mean angular velocity,266,0.6216774711848522,7.722001989105949e-30
HE,test,Std jerk,Std acceleration,266,0.617515274299805,2.3470231829916487e-29
HE,test,Std angular acceleration,Mean angular velocity,266,0.6026185880218885,1.09861624827783e-27
HE,test,Avg jerk,Mean angular velocity,266,0.5862171859583237,6.045563281778088e-26
HE,test,Std jerk,Mean angular velocity,266,0.5763625727451979,6.034841530849196e-25
HE,test,Mean acceleration,Mean angular velocity,266,0.5736757624398074,1.1150386826739893e-24
HE,test,Max jerk,Avg angular acceleration,266,0.5366801570387703,3.0364286591620454e-21
HE,test,Max jerk,Std angular acceleration,266,0.5207837273914062,6.805449513525294e-20
HE,test,Avg jerk,Mean acceleration,266,0.5158806492593578,1.719052736706867e-19
HE,test,Avg angular acceleration,Std acceleration,266,0.5112836150159159,4.0434013285406e-19
HE,test,Max jerk,Std angular velocity,266,0.5047738064686839,1.3281775173201526e-18
HE,test,Max jerk,Std acceleration,266,0.5042210146948886,1.4676083260974382e-18
HE,test,Std acceleration,Mean angular velocity,266,0.5017720259946028,2.278954033800086e-18
HE,test,Proposed Biomarker,Max jerk,266,0.49028900425751676,1.7129041816389244e-17
HE,test,Std angular acceleration,Std acceleration,266,0.47977639668388694,1.0170911640798968e-16
HE,test,Std acceleration,Std angular velocity,266,0.4767306224008187,1.6849216330971305e-16
HE,test,Std jerk,Mean acceleration,266,0.4728566168442093,3.1789158741864787e-16
HE,test,Max jerk,Mean angular velocity,266,0.4671839658506028,7.938524760522206e-16
HE,test,Avg angular acceleration,Mean acceleration,266,0.3861486448791047,6.891992698832759e-11
HE,test,Proposed Biomarker,Std jerk,266,0.3831857574825339,9.883339302885114e-11
HE,test,Std angular acceleration,Mean acceleration,266,0.3587813077319119,1.682777550054753e-09
HE,test,Mean acceleration,Std angular velocity,266,0.35638141357209,2.195861274400448e-09
HE,test,Max jerk,Mean acceleration,266,0.3370426277693386,1.7313749862557127e-08
HE,test,Proposed Biomarker,Std angular velocity,266,0.33324959632492296,2.5539415289020087e-08
HE,test,Proposed Biomarker,Avg jerk,266,0.33264643482779455,2.7154793745122348e-08
HE,test,Proposed Biomarker,Avg angular acceleration,266,0.3000119548393987,6.186124044611827e-07
HE,test,Proposed Biomarker,Std acceleration,266,0.29001898428496514,1.4972612467669924e-06
HE,test,Proposed Biomarker,Std angular acceleration,266,0.26961542078643713,8.217321516838645e-06
HE,test,Proposed Biomarker,Mean angular velocity,266,0.13937143048420286,0.022997193946227356
HE,test,Proposed Biomarker,Mean acceleration,266,0.008324074974376794,0.8925134126480405
LB,test,Avg angular acceleration,Std angular acceleration,266,0.988856814497554,2.0723176799993814e-220
LB,test,Avg jerk,Std jerk,266,0.9853322090471037,9.358753683333343e-205
LB,test,Max jerk,Std jerk,266,0.9074905835715003,1.9503698722613587e-101
