split,feature_1,feature_2,n,spearman_rho,p_value
test,Avg stride time,Gait cadence,266,-0.9959495364947358,3.183033460126434e-278
test,Avg angular acceleration (RF-LF),Std angular acceleration (RF-LF),266,0.9853634510273989,7.0773654838056455e-205
test,Avg angular velocity peak (RF-LF),Std angular velocity peak (RF-LF),266,0.9796716722907545,3.3059353031125892e-186
test,Avg acceleration peak (RF-LF),Std acceleration peak (RF-LF),266,0.9771111050894142,1.7671947773767236e-179
test,Avg jerk (RF-LF),Std jerk (RF-LF),266,0.9764384461259147,7.735983678088508e-178
test,Max stride time,Std stride time,266,0.9442960126360549,1.945561343063669e-129
test,Max jerk (RF-LF),Std jerk (RF-LF),266,0.9203712057332222,1.187332889944985e-109
test,Std angular velocity peak (RF-LF),Avg angular acceleration (RF-LF),266,0.907603437255424,1.672932357806858e-101
test,Avg acceleration peak (RF-LF),Avg angular velocity peak (RF-LF),266,0.9068089983279165,4.906521164053407e-101
test,Avg acceleration peak (RF-LF),Std angular velocity peak (RF-LF),266,0.902149480123884,2.237189340682005e-98
test,Std angular velocity peak (RF-LF),Std angular acceleration (RF-LF),266,0.8998490502278593,4.1073770780211e-97
test,Std acceleration peak (RF-LF),Std acceleration (RF-LF),266,0.8928540345988991,1.8871265791493725e-93
test,Std acceleration peak (RF-LF),Std angular velocity peak (RF-LF),266,0.8908041781366708,2.0001412406103146e-92
test,Std acceleration peak (RF-LF),Avg jerk (RF-LF),266,0.8896016806910216,7.816675111187842e-92
test,Avg angular velocity peak (RF-LF),Avg angular acceleration (RF-LF),266,0.8840801388674145,3.3553179640495255e-89
test,Std acceleration peak (RF-LF),Avg angular velocity peak (RF-LF),266,0.8816081968754832,4.584523862608122e-88
test,Std acceleration peak (RF-LF),Avg angular acceleration (RF-LF),266,0.8792854512792475,5.074948035060148e-87
test,Avg acceleration peak (RF-LF),Avg jerk (RF-LF),266,0.8721578166318914,6.023033960959606e-84
test,Avg acceleration peak (RF-LF),Avg angular acceleration (RF-LF),266,0.871159348445313,1.5693459145305027e-83
test,Std acceleration peak (RF-LF),Std angular acceleration (RF-LF),266,0.8706569263948508,2.533301383990526e-83
test,Avg angular velocity peak (RF-LF),Std angular acceleration (RF-LF),266,0.8688831470238029,1.3520876648291281e-82
test,Avg jerk (RF-LF),Std acceleration (RF-LF),266,0.8685822038666732,1.792046690033114e-82
test,Avg acceleration peak (RF-LF),Std acceleration (RF-LF),266,0.8644557121019636,7.962110720707776e-81
test,Avg acceleration peak (RF-LF),Std angular acceleration (RF-LF),266,0.8541273684529322,6.274330989265096e-77
test,Std jerk (RF-LF),Std acceleration (RF-LF),266,0.843589894813353,2.9825048512785216e-73
test,Avg jerk (RF-LF),Max jerk (RF-LF),266,0.8379095927225313,2.2161138870568065e-71
test,Std acceleration peak (RF-LF),Std jerk (RF-LF),266,0.8271406733921937,5.032118379576746e-68
test,Std angular acceleration (RF-LF),Std angular velocity (RF-LF),266,0.8132819859698005,4.939246208549098e-64
test,Avg angular acceleration (RF-LF),Std angular velocity (RF-LF),266,0.7975417662239126,6.949434437832185e-60
test,Avg acceleration peak (RF-LF),Std jerk (RF-LF),266,0.7971553858145469,8.692299296263073e-60
test,Std angular velocity peak (RF-LF),Std acceleration (RF-LF),266,0.7953101962028242,2.5139703016321345e-59
test,U-turn time,Std angular velocity peak (RF-LF),266,-0.7864180755958359,3.61705377566945e-57
test,U-turn time,Avg angular velocity peak (RF-LF),266,-0.7833884995302562,1.8627485717294319e-56
test,Std acceleration (RF-LF),Std angular velocity (RF-LF),266,0.7805059606829242,8.646550299536128e-56
test,Avg angular velocity peak (RF-LF),Std acceleration (RF-LF),266,0.7784694936408224,2.5222311935036623e-55
test,Avg jerk (RF-LF),Std angular velocity peak (RF-LF),266,0.7774187429566071,4.3626587405922444e-55
test,Std angular velocity peak (RF-LF),Std angular velocity (RF-LF),266,0.7771471290054689,5.024038564251412e-55
test,Std angular acceleration (RF-LF),Std acceleration (RF-LF),266,0.7766045386946271,6.656621782218528e-55
test,Avg angular acceleration (RF-LF),Std acceleration (RF-LF),266,0.7723250249856143,5.958997417457394e-54
test,Avg jerk (RF-LF),Avg angular velocity peak (RF-LF),266,0.7628332012987737,6.518187878527563e-52
test,Std acceleration peak (RF-LF),Std angular velocity (RF-LF),266,0.7555506319328106,2.0641683344662388e-50
test,Avg angular velocity peak (RF-LF),Std angular velocity (RF-LF),266,0.7548409926661045,2.8717700526270195e-50
test,Gait cadence,Std acceleration (RF-LF),266,0.7425078152848236,7.492501470303534e-48
